date,BidPrice-BSV,BidVolume-BSV,AskPrice-BSV,AskVolume-BSV,BidPrice-BTC,BidVolume-BTC,AskPrice-BTC,AskVolume-BTC,BidPrice-EOS,BidVolume-EOS,AskPrice-EOS,AskVolume-EOS,BidPrice-ETH,BidVolume-ETH,AskPrice-ETH,AskVolume-ETH,BidPrice-BAB,BidVolume-BAB,AskPrice-BAB,AskVolume-BAB,BidPrice-LTC,BidVolume-LTC,AskPrice-LTC,AskVolume-LTC,BidPrice-NEO,BidVolume-NEO,AskPrice-NEO,AskVolume-NEO,BidPrice-XRP,BidVolume-XRP,AskPrice-XRP,AskVolume-XRP
2019-11-03 07:58:08.105835,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.11,721.09874068,295.26,587.52378941,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:08.953839,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:09.025840,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:11.099823,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:12.113822,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:12.514798,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:12.680791,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:17.120825,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:18.056814,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.91,1056.73694394,183.96,1182.11084336,295.17,666.20474189,295.37,575.7962962,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:18.067812,132.07,1058.4663769,132.33,1279.39352495,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.9,976.96584997,183.94,1139.90107108,295.17,666.20474189,295.37,575.7962962,58.276,2520.601766850001,58.29,2599.8733436400007,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
